episode,steps,reward,mean_q,loss,mae
0,420,6.0,,,
1,1131,7.0,,,
2,1941,10.0,,,
3,2809,11.0,,,
4,3312,4.0,,,
5,3789,4.0,,,
6,4209,5.0,,,
7,4707,5.0,,,
8,5312,8.0,,,
9,5887,10.0,,,
10,6665,7.0,,,
11,7087,2.0,,,
12,7771,7.0,,,
13,8239,4.0,,,
14,8937,9.0,,,
15,9638,12.0,,,
16,10256,7.0,,,
17,10875,10.0,,,
18,11988,18.0,,,
19,12692,9.0,,,
20,13248,6.0,,,
21,13906,7.0,,,
22,14462,5.0,,,
23,15070,11.0,,,
24,15480,5.0,,,
25,16598,14.0,,,
26,17473,15.0,,,
27,17958,2.0,,,
28,18609,6.0,,,
29,19114,9.0,,,
30,19769,5.0,,,
31,20316,6.0,,,
32,21013,6.0,,,
33,21532,5.0,,,
34,22411,19.0,,,
35,23282,16.0,,,
36,23819,8.0,,,
37,24235,3.0,,,
38,25199,16.0,,,
39,25893,12.0,,,
40,27136,26.0,,,
41,27867,7.0,,,
42,28650,10.0,,,
43,29387,12.0,,,
44,30076,8.0,,,
45,30573,5.0,,,
46,31263,6.0,,,
47,32199,16.0,,,
48,32765,9.0,,,
49,33584,12.0,,,
50,34234,10.0,,,
51,34609,4.0,,,
52,35278,10.0,,,
53,35918,9.0,,,
54,36570,6.0,,,
55,37538,17.0,,,
56,38595,15.0,,,
57,39231,9.0,,,
58,39626,6.0,,,
